抓取错误!  | 标题 : 4659 , url : [2017-01-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4659 , url : [2017-01-18] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4659 , url : [2017-01-13] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4659 , url : [2017-01-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4659 , url : [2016-12-30] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4659 , url : [2016-12-21] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-19] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-09] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-07] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-05] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-12-01] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-11-29] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-11-29] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-11-28] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4661 , url : [2016-11-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-12-16] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-12-16] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-09-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-09-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-09-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-09-06] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-05-31] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-04-20] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-03-22] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2016-03-18] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-12-29] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-12-14] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-10-23] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-10-23] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-10-23] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-09-01] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-09-01] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-07-14] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-06-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 4874 , url : [2015-06-26] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
抓取错误!  | 标题 : 5427 , url : [2012-10-19] , 父目录 : http://www.gslygzz.com.cn/Item.do?id=${item.id }  ----------------
